1,Amazon Fire TV,Amazon,623.70
2,Kindle Paperwhite 6" High Resolution Display with Next-Gen Built-in Light Wi-Fi - Includes Special Offers,Amazon,749.70
3,Google Chromecast HDMI Streaming Media Player,Amazon,214.20
4,PlayStation 4 Console,Amazon,2513.70
5,Fitbit Flex Wireless Activity + Sleep Wristband Black,Amazon,611.10
6,Kindle Fire HDX 7" HDX Display Wi-Fi 16 GB - Includes Special Offers,Amazon,1442.70
7,Kindle Fire HD 7" HD Display Wi-Fi 16 GB - Includes Special Offers,Amazon,1064.70
8,SanDisk Ultra 64 GB microSDXC Class 10 UHS-1 Memory Card 30MB/s with Adapter SDSDQU-064G-AFFP-A,Amazon,245.70
9,AmazonBasics High-Speed HDMI Cable (6.5 Feet/2.0 Meters) - Supports Ethernet 3D and Audio Return [Newest Standard...,Amazon,31.50
10,Kindle Fire HD 7" HD Display Wi-Fi 8 GB - Includes Special Offers,Amazon,875.70
11,Apple Lightning to USB Cable,Amazon,107.10
12,$50 PlayStation Store Gift Card - PS3/ PS4/ PS Vita [Digital Code],Amazon,308.70
13,Roku 3 Streaming Media Player,Amazon,592.20
14,Kindle Paperwhite 6" High Resolution Display with Next-Gen Built-in Light Wi-Fi,Amazon,875.70
15,SanDisk Ultra 32 GB MicroSDHC C10/UHS1 Memory Card with Adapter (SDSDQU-032G-AFFP-A),Amazon,126.00
16,WD My Passport Ultra 1TB Portable External Hard Drive USB 3.0 with Auto and Cloud Backup - Black (WDBZFP0010BBK-NESN...,Amazon,459.90
17,Samsung Electronics 840 EVO-Series 250GB 2.5-Inch SATA III Single Unit Version Internal Solid State Drive MZ-7TE250BW...,Amazon,963.90
18,Brother TN450 High Yield Toner Cartridge - Retail Packaging - Black,Amazon,289.80
19,Xbox One Console - Titanfall Bundle,Amazon,3143.70
20,GoPro HERO3+: Black Edition,Amazon,2513.70
21,Apple TV MD199LL/A,Amazon,579.60
22,AmazonBasics USB A to Lightning Compatible Cable - Apple Certified - Black (6 Feet/1.8 Meter),Amazon,88.20
23,Roku 3500R Streaming Stick (HDMI) (2014),Amazon,308.70
24,Bose SoundLink Mini Bluetooth Speaker,Amazon,1253.70
25,AmazonBasics USB A to Lightning Compatible Cable - Apple Certified - Black (3 Feet/0.9 Meter),Amazon,81.90
26,Sony BDP-S5100 3D Blu-ray Disc Player with Wi-Fi,Amazon,554.40
27,Kindle 6" E Ink Display Wi-Fi - Includes Special Offers (Black),Amazon,434.70
28,Samsung Electronics 840 EVO-Series 500GB 2.5-Inch SATA III Single Unit Version Internal Solid State Drive MZ-7TE500BW...,Amazon,1612.80
29,Fitbit One Wireless Activity Plus Sleep Tracker Black,Amazon,548.10
30,ARRIS / Motorola SurfBoard SB6141 DOCSIS 3.0 Cable Modem - Retail Packaging - White,Amazon,1.20
31,ASUS Transformer Book T100TA-C1-GR 10.1-Inch Detachable 2 in 1 Touchscreen Laptop with 64GB SSD,Amazon,2230.20
